index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color
35,1,No,Clubs,Visual,9C81UP,Male,No,66.0,15.0,7.0,16.0,7.0,96.0,21:30,5:30,public transport,green
36,2,No,Arts,Auditory,GJITFO,Female,Yes,58.0,17.0,1.0,15.0,9.0,92.0,22:00,6:00,private transport,white
37,2,No,Sports,Visual,3LU16S,Female,No,45.0,16.0,8.0,15.0,5.0,87.0,21:00,5:00,public transport,black
38,1,No,Arts,Auditory,PSU5GT,Male,N,53.0,21.0,9.0,16.0,10.0,97.0,21:00,5:00,public transport,green
39,2,No,Arts,Auditory,OR5ZSX,Male,No,42.0,10.0,12.0,15.0,11.0,55.0,1:00,6:00,private transport,green
40,1,No,Arts,Visual,2HD89P,Male,Yes,71.0,10.0,15.0,15.0,15.0,91.0,22:30,5:30,public transport,yellow
41,1,Yes,None,Visual,ALOPZS,Female,Yes,92.0,2.0,19.0,15.0,10.0,95.0,22:30,6:30,private transport,black
42,1,No,None,Auditory,1GNS79,Male,Yes,62.0,11.0,17.0,16.0,5.0,97.0,21:00,5:00,public transport,red
43,0,No,Arts,Auditory,QBSKYM,Female,Yes,75.0,16.0,7.0,15.0,8.0,97.0,21:00,5:00,public transport,yellow
44,0,No,Clubs,Visual,EIEGC8,Female,Yes,81.0,8.0,19.0,15.0,10.0,98.0,22:30,6:30,private transport,blue
45,1,Yes,Arts,Visual,PRPPV8,Female,Yes,49.0,30.0,0.0,16.0,1.0,64.0,0:30,6:30,private transport,white
46,0,Yes,None,Visual,RAJ8CB,Male,No,82.0,12.0,5.0,15.0,5.0,93.0,21:30,5:30,public transport,green
47,2,No,Sports,Auditory,M7KDZO,Female,Yes,79.0,6.0,15.0,16.0,9.0,99.0,21:30,5:30,public transport,white
48,0,Yes,Sports,Visual,GA61X8,Male,No,77.0,11.0,7.0,15.0,9.0,96.0,22:00,6:00,private transport,green
49,1,No,Arts,Visual,Q6DZRI,Male,No,45.0,23.0,7.0,15.0,14.0,94.0,22:30,6:30,private transport,white
50,1,No,Arts,Auditory,5F320K,Female,No,48.0,14.0,10.0,15.0,8.0,74.0,22:00,5:00,public transport,red
51,1,Yes,Clubs,Visual,6RUZRP,Male,Yes,,14.0,7.0,15.0,9.0,90.0,23:00,7:00,walk,white
52,2,No,Sports,Auditory,6ENKHB,Male,Yes,58.0,16.0,4.0,16.0,19.0,91.0,21:00,5:00,public transport,black
53,0,No,Arts,Auditory,1CVO8I,Female,Yes,63.0,12.0,15.0,16.0,8.0,98.0,22:30,6:30,private transport,red
54,2,Yes,Arts,Visual,QLG7M4,Female,No,78.0,6.0,8.0,15.0,7.0,98.0,21:00,5:00,public transport,yellow
55,2,No,None,Visual,DC520G,Female,No,69.0,15.0,7.0,16.0,5.0,96.0,21:30,5:30,public transport,blue
56,2,No,Sports,Auditory,1SU69Y,Female,Yes,54.0,10.0,8.0,16.0,16.0,95.0,21:00,5:00,public transport,red
57,1,Yes,None,Visual,OPWOR2,Female,Yes,95.0,1.0,20.0,15.0,9.0,92.0,22:00,6:00,private transport,green
58,1,No,Clubs,Visual,GF3FCX,Male,No,51.0,19.0,11.0,15.0,18.0,,22:30,6:30,private transport,black
59,2,No,Sports,Auditory,OL7HET,Female,Yes,60.0,8.0,12.0,15.0,16.0,94.0,23:00,7:00,walk,green
60,2,No,Arts,Auditory,1B3QSS,Female,Yes,40.0,3.0,19.0,5.0,5.0,98.0,22:00,6:00,private transport,blue
61,1,No,Sports,Auditory,D8YD78,Female,Yes,57.0,24.0,6.0,6.0,11.0,95.0,21:30,5:30,public transport,white
62,0,Yes,None,Auditory,68GQ7S,Male,Yes,85.0,12.0,9.0,16.0,8.0,,23:00,7:00,walk,red
63,1,Yes,None,Auditory,JMO689,Female,Yes,65.0,17.0,2.0,15.0,16.0,99.0,21:30,5:30,public transport,red
64,1,Yes,Sports,Auditory,HLUIH1,Female,Yes,55.0,13.0,12.0,16.0,8.0,91.0,22:00,6:00,private transport,white
65,1,Yes,None,Visual,SI2A4J,Female,Yes,92.0,21.0,0.0,15.0,9.0,91.0,22:00,6:00,private transport,yellow
66,1,No,Clubs,Auditory,25EIBZ,Male,No,50.0,15.0,15.0,16.0,5.0,92.0,23:00,7:00,walk,blue
67,0,No,Sports,Auditory,7XH8AD,Female,Yes,55.0,8.0,14.0,16.0,7.0,96.0,21:30,5:30,public transport,yellow
68,0,No,None,Auditory,92X86W,Male,Yes,94.0,10.0,15.0,16.0,7.0,92.0,21:00,5:00,public transport,red
69,1,No,Sports,Auditory,3T7YQD,Female,Yes,60.0,3.0,21.0,15.0,17.0,91.0,21:00,5:00,public transport,black
70,1,Yes,Clubs,Auditory,QI04T7,Female,No,56.0,15.0,10.0,16.0,7.0,91.0,21:00,5:00,public transport,yellow
71,1,Yes,None,Auditory,903WGD,Male,No,76.0,11.0,6.0,16.0,3.0,93.0,22:30,6:30,private transport,black
72,0,Yes,None,Auditory,OB3KOP,Male,No,79.0,13.0,7.0,15.0,6.0,91.0,22:00,6:00,private transport,black
73,1,No,Clubs,Visual,V8PSZ4,Male,No,53.0,30.0,0.0,16.0,7.0,96.0,21:00,5:00,public transport,green
74,1,No,Clubs,Auditory,RARLB8,Male,Yes,48.0,10.0,20.0,15.0,6.0,97.0,22:00,6:00,private transport,red
75,2,Yes,Sports,Visual,3PKA6K,Male,No,72.0,11.0,9.0,15.0,8.0,90.0,22:00,6:00,private transport,black
76,0,Yes,Sports,Visual,9AO05A,Female,No,49.0,12.0,8.0,16.0,14.0,55.0,1:30,6:30,private transport,blue
77,1,No,Arts,Auditory,7XMIUL,Male,Yes,58.0,14.0,8.0,15.0,15.0,98.0,22:30,6:30,private transport,black
78,2,No,Arts,Auditory,XFTK88,Female,Yes,76.0,20.0,1.0,15.0,8.0,92.0,22:00,6:00,private transport,white
79,2,Yes,None,Visual,E4467Q,Male,No,83.0,16.0,2.0,15.0,8.0,95.0,21:00,5:00,public transport,red
80,0,No,Clubs,Visual,XY6R2B,Female,Yes,53.0,4.0,16.0,16.0,14.0,97.0,22:00,6:00,private transport,yellow
81,0,No,Clubs,Auditory,ANUEDH,Male,No,57.0,24.0,3.0,5.0,6.0,96.0,22:00,6:00,private transport,white
82,0,Yes,None,Visual,7EPPQG,Female,Yes,70.0,1.0,15.0,5.0,10.0,96.0,22:30,6:30,private transport,red
83,1,No,Arts,Auditory,EAZDA8,Female,Yes,52.0,21.0,3.0,6.0,8.0,95.0,22:00,6:00,private transport,blue
84,1,No,Arts,Visual,GGSU2X,Female,No,50.0,16.0,14.0,16.0,18.0,95.0,21:30,5:30,public transport,blue
85,0,No,Arts,Auditory,B6U6DY,Female,Yes,94.0,18.0,3.0,16.0,8.0,,23:00,7:00,walk,yellow
86,1,No,Sports,Auditory,W3QNOA,Female,No,48.0,7.0,18.0,15.0,14.0,92.0,23:00,7:00,walk,yellow
87,0,Yes,None,Visual,MB9F8E,Male,No,82.0,15.0,2.0,15.0,9.0,93.0,23:00,7:00,walk,blue
88,1,Yes,Sports,Visual,Z8SK8Q,Female,Yes,67.0,8.0,13.0,15.0,7.0,,22:30,6:30,private transport,blue
89,0,No,Clubs,Auditory,JHI88P,Female,Yes,66.0,16.0,11.0,16.0,17.0,92.0,21:00,5:00,public transport,red
90,0,No,None,Visual,BNX7P2,Female,Yes,89.0,16.0,7.0,15.0,7.0,,21:30,5:30,public transport,yellow
91,2,No,Arts,Auditory,EK2Z2C,Male,Yes,71.0,19.0,0.0,16.0,8.0,92.0,22:00,6:00,private transport,green
92,2,No,None,Visual,KIKA1F,Male,Yes,60.0,22.0,0.0,15.0,15.0,91.0,23:00,7:00,walk,white
93,1,Yes,None,Visual,QCJ1S2,Female,Yes,93.0,3.0,18.0,16.0,5.0,96.0,21:30,5:30,public transport,blue
94,0,No,None,Auditory,WQCJ0U,Male,Yes,87.0,19.0,3.0,16.0,7.0,96.0,21:30,5:30,public transport,green
95,0,No,None,Auditory,0ZM2DQ,Female,No,88.0,7.0,15.0,16.0,7.0,97.0,23:00,7:00,walk,green
96,1,No,Sports,Auditory,80MAOJ,Male,Yes,63.0,18.0,4.0,15.0,13.0,100.0,23:00,7:00,walk,red
97,0,No,None,Visual,7QEG4X,Male,No,79.0,13.0,14.0,16.0,5.0,94.0,22:00,6:00,private transport,green
98,1,No,Clubs,Auditory,ZP7S5I,Male,Yes,56.0,12.0,15.0,16.0,8.0,99.0,22:30,6:30,private transport,white
99,0,No,None,Visual,YGJQCK,Male,Yes,94.0,20.0,3.0,15.0,9.0,95.0,22:00,6:00,private transport,blue
100,1,No,Clubs,Auditory,QM7MY8,Female,No,47.0,20.0,5.0,15.0,9.0,61.0,2:30,6:30,private transport,yellow
101,1,No,Sports,Auditory,0QUOS2,Female,No,54.0,3.0,27.0,15.0,15.0,93.0,21:30,5:30,public transport,white
102,1,No,Clubs,Auditory,AW0QXU,Female,Yes,64.0,7.0,21.0,16.0,6.0,99.0,22:00,6:00,private transport,black
103,2,No,Clubs,Auditory,KZ8V82,Female,Yes,51.0,15.0,3.0,15.0,6.0,95.0,23:00,7:00,walk,white
104,1,No,Arts,Auditory,43SC3X,Female,No,55.0,14.0,15.0,16.0,7.0,93.0,23:00,7:00,walk,red
105,1,No,Clubs,Auditory,PFK1PZ,Male,Yes,74.0,18.0,10.0,15.0,9.0,96.0,21:00,5:00,public transport,yellow
106,2,No,Sports,Auditory,X1PLLZ,Female,Yes,46.0,10.0,14.0,15.0,9.0,81.0,22:30,5:30,public transport,white
107,1,No,Sports,Visual,2ZMPZA,Male,Yes,53.0,30.0,0.0,15.0,10.0,91.0,22:30,6:30,private transport,blue
108,0,No,None,Visual,GK3BXZ,Male,No,65.0,22.0,5.0,15.0,19.0,99.0,21:00,5:00,public transport,black
109,2,No,Clubs,Auditory,XZY6BR,Female,No,52.0,15.0,4.0,16.0,15.0,95.0,23:00,7:00,walk,blue
110,1,No,Sports,Visual,GFRBAF,Female,No,46.0,21.0,9.0,15.0,11.0,77.0,22:00,5:00,public transport,yellow
111,0,Yes,Sports,Visual,6XKV9Q,Female,No,83.0,14.0,2.0,16.0,7.0,95.0,21:00,5:00,public transport,yellow
112,2,No,Sports,Auditory,U9XHGZ,Female,N,46.0,7.0,16.0,15.0,4.0,52.0,0:00,5:00,public transport,black
113,1,No,Clubs,Auditory,BC79L5,Female,Yes,52.0,22.0,7.0,15.0,17.0,93.0,23:00,7:00,walk,white
114,0,Yes,Clubs,Auditory,2QYBOU,Female,No,72.0,17.0,2.0,6.0,10.0,97.0,21:30,5:30,public transport,black
115,1,No,Arts,Auditory,GKO7VX,Male,Yes,66.0,18.0,10.0,15.0,14.0,97.0,21:00,5:00,public transport,green
116,0,No,Sports,Auditory,ES1RUS,Female,No,69.0,3.0,18.0,15.0,18.0,99.0,21:00,5:00,public transport,yellow
117,1,Yes,None,Auditory,IM44PM,Male,Yes,78.0,18.0,3.0,16.0,9.0,95.0,22:00,6:00,private transport,green
118,0,No,None,Visual,UD6QES,Male,Yes,84.0,14.0,9.0,15.0,9.0,98.0,22:30,6:30,private transport,black
119,1,No,Arts,Auditory,3AVEIW,Female,No,63.0,0.0,27.0,15.0,18.0,93.0,22:30,6:30,private transport,white
120,0,No,SPORTS,Visual,WCO3PY,Female,No,73.0,5.0,23.0,16.0,18.0,99.0,21:00,5:00,public transport,blue
121,0,Yes,None,Visual,DGJLSD,Male,Yes,85.0,15.0,1.0,16.0,9.0,96.0,22:00,6:00,private transport,yellow
122,1,No,Arts,Auditory,ED45O1,Female,Yes,71.0,21.0,1.0,16.0,9.0,97.0,22:30,6:30,private transport,green
123,1,No,Sports,Visual,SCL5U1,Female,Yes,46.0,1.0,29.0,15.0,13.0,90.0,22:00,6:00,private transport,red
124,2,No,Sports,Auditory,7N3MXK,Female,Yes,62.0,10.0,12.0,16.0,9.0,92.0,22:30,6:30,private transport,green
125,2,No,Sports,Auditory,5Z0IOP,Female,Yes,76.0,11.0,10.0,16.0,10.0,94.0,23:00,7:00,walk,black
126,1,No,Sports,Visual,9BZOHI,Male,Yes,65.0,12.0,16.0,16.0,19.0,94.0,22:30,6:30,private transport,green
127,1,Yes,None,Visual,AUPAC8,Male,Yes,91.0,14.0,7.0,16.0,9.0,91.0,0:00,7:00,walk,yellow
128,1,No,Sports,Auditory,8PXI3E,Male,No,38.0,19.0,9.0,16.0,3.0,51.0,1:00,6:00,private transport,yellow
129,0,No,Sports,Visual,6F1PTH,Male,Yes,96.0,12.0,11.0,15.0,8.0,98.0,22:00,6:00,private transport,yellow
130,0,No,Clubs,Auditory,BSZMBK,Male,Yes,93.0,21.0,4.0,16.0,6.0,91.0,21:30,5:30,public transport,red
131,2,No,SPORTS,Auditory,FI521J,Female,Yes,55.0,1.0,17.0,16.0,12.0,92.0,21:30,5:30,public transport,green
132,1,No,Sports,Auditory,190KM7,Male,Yes,58.0,19.0,3.0,16.0,17.0,94.0,22:00,6:00,private transport,white
133,1,No,Sports,Auditory,2OS39W,Female,Yes,64.0,16.0,11.0,15.0,10.0,92.0,21:30,5:30,public transport,green
134,0,No,Sports,Auditory,0MKJET,Female,No,65.0,11.0,10.0,15.0,14.0,95.0,22:30,6:30,private transport,black
135,0,No,Clubs,Visual,XACBU2,Male,Yes,89.0,14.0,8.0,15.0,7.0,99.0,21:30,5:30,public transport,yellow
136,0,No,CLUBS,Visual,QB177D,Female,N,55.0,9.0,13.0,16.0,13.0,98.0,22:00,6:00,private transport,green
137,1,No,Sports,Visual,WHO5I7,Female,No,58.0,8.0,23.0,16.0,9.0,97.0,21:00,5:00,public transport,red
138,1,No,Arts,Auditory,90IB5O,Female,No,53.0,13.0,12.0,16.0,18.0,95.0,22:30,6:30,private transport,white
139,1,No,Clubs,Visual,MP9662,Female,No,47.0,19.0,11.0,16.0,10.0,91.0,21:00,5:00,public transport,white
140,2,No,None,Visual,TDLKDV,Female,Yes,72.0,6.0,13.0,5.0,10.0,99.0,22:00,6:00,private transport,yellow
141,0,No,None,Auditory,MP1M7A,Female,No,68.0,19.0,8.0,15.0,19.0,95.0,22:30,6:30,private transport,black
142,1,No,None,Auditory,2RE5VB,Female,Yes,61.0,22.0,6.0,5.0,7.0,91.0,22:30,6:30,private transport,yellow
143,1,Yes,Sports,Auditory,WIHG37,Female,Yes,72.0,9.0,11.0,15.0,11.0,94.0,22:30,6:30,private transport,white
144,1,No,Clubs,Visual,JIQ8UK,Male,No,51.0,23.0,7.0,15.0,7.0,100.0,22:30,6:30,private transport,green
145,2,No,Arts,Visual,FR8U8M,Female,No,41.0,3.0,19.0,6.0,8.0,96.0,22:00,6:00,private transport,yellow
146,0,No,Sports,Auditory,AW6ZDW,Female,No,53.0,1.0,20.0,16.0,18.0,97.0,22:00,6:00,private transport,black
147,1,No,Clubs,Visual,BASY1M,Male,No,53.0,15.0,11.0,15.0,18.0,100.0,22:00,6:00,private transport,red
148,0,No,Clubs,Visual,9DC1Y5,Female,No,76.0,0.0,27.0,15.0,8.0,96.0,21:30,5:30,public transport,yellow
149,2,No,Sports,Auditory,894SIA,Male,No,59.0,18.0,2.0,15.0,16.0,94.0,22:30,6:30,private transport,yellow
150,1,No,Clubs,Visual,QJODVK,Female,Yes,59.0,25.0,3.0,15.0,15.0,94.0,22:30,6:30,private transport,black
151,1,Yes,Sports,Visual,Y1CFA8,Female,No,49.0,27.0,3.0,16.0,4.0,55.0,0:30,5:30,public transport,red
152,1,Yes,SPORTS,Auditory,4YZZ66,Male,No,49.0,12.0,12.0,16.0,7.0,93.0,23:00,7:00,walk,blue
153,2,No,Arts,Auditory,H1XKZZ,Male,Yes,56.0,20.0,0.0,16.0,11.0,93.0,21:30,5:30,public transport,green
154,0,No,None,Auditory,4VZ0W4,Female,Yes,72.0,0.0,23.0,6.0,12.0,94.0,21:00,5:00,public transport,yellow
155,1,Yes,None,Visual,QUV2FC,Female,No,91.0,9.0,12.0,16.0,5.0,97.0,21:30,5:30,public transport,green
156,1,No,Clubs,Auditory,LDFJ01,Male,No,61.0,17.0,11.0,15.0,8.0,100.0,21:00,5:00,public transport,black
157,2,Yes,Arts,Visual,T4NOZ5,Male,No,54.0,11.0,5.0,15.0,5.0,99.0,21:30,5:30,public transport,yellow
158,0,No,Clubs,Visual,2RH032,Male,No,72.0,13.0,15.0,16.0,10.0,95.0,21:30,5:30,public transport,red
159,1,Yes,Clubs,Auditory,0Y30H6,Female,Yes,75.0,7.0,10.0,16.0,6.0,92.0,22:30,6:30,private transport,yellow
160,1,Yes,None,Visual,CGRXK9,Female,No,61.0,21.0,6.0,16.0,7.0,96.0,22:30,6:30,private transport,red
161,0,No,ARTS,Auditory,F9Q4TS,Male,Yes,77.0,12.0,9.0,16.0,6.0,93.0,22:00,6:00,private transport,black
162,1,Yes,Arts,Auditory,1IMC07,Female,No,49.0,19.0,6.0,15.0,10.0,91.0,22:00,6:00,private transport,yellow
163,2,No,Sports,Auditory,GWX4PV,Female,No,41.0,15.0,7.0,15.0,1.0,98.0,21:00,5:00,public transport,yellow
164,2,No,Arts,Auditory,9B2MSU,Female,Yes,49.0,15.0,9.0,15.0,6.0,56.0,1:30,5:30,public transport,white
165,2,No,Clubs,Visual,OLRR8C,Female,No,72.0,10.0,13.0,15.0,7.0,96.0,22:00,6:00,private transport,yellow
166,1,No,Clubs,Auditory,4TTFFE,Female,Yes,58.0,4.0,20.0,15.0,16.0,100.0,22:00,6:00,private transport,white
167,0,No,Sports,Auditory,34JBW3,Female,No,77.0,5.0,17.0,15.0,6.0,90.0,21:00,5:00,public transport,green
168,2,No,Sports,Visual,0B0KHP,Male,No,70.0,20.0,3.0,16.0,14.0,91.0,23:00,7:00,walk,yellow
169,1,No,None,Visual,BX2EJ1,Male,No,55.0,16.0,10.0,16.0,13.0,99.0,21:00,5:00,public transport,blue
170,0,Yes,None,Visual,3JIYVD,Female,No,81.0,3.0,15.0,15.0,7.0,90.0,23:00,6:00,private transport,yellow
171,1,No,Clubs,Auditory,BJ3J7Y,Female,No,47.0,22.0,8.0,15.0,5.0,96.0,21:30,5:30,public transport,red
172,2,Yes,None,Visual,BW7ZBA,Male,Yes,76.0,14.0,0.0,16.0,6.0,91.0,21:00,5:00,public transport,blue
173,0,Yes,Sports,Visual,1DVSGE,Male,No,73.0,11.0,7.0,16.0,6.0,94.0,21:30,5:30,public transport,white
174,2,No,Clubs,Auditory,I62NPT,Female,No,42.0,22.0,0.0,16.0,5.0,59.0,2:00,7:00,walk,black
175,1,No,Sports,Auditory,2BFCOD,Male,No,62.0,27.0,0.0,16.0,13.0,99.0,22:00,6:00,private transport,black
176,2,No,Sports,Auditory,VUUZO0,Male,Yes,71.0,10.0,11.0,16.0,15.0,93.0,22:00,6:00,private transport,green
177,0,Yes,Sports,Visual,RZV4QM,Female,Yes,79.0,11.0,4.0,15.0,7.0,93.0,21:30,5:30,public transport,red
178,1,Yes,Arts,Visual,370TFV,Female,No,79.0,10.0,7.0,15.0,6.0,91.0,21:30,5:30,public transport,red
179,2,No,Clubs,Auditory,BBY9XL,Female,Yes,71.0,18.0,1.0,16.0,11.0,97.0,22:30,6:30,private transport,yellow
180,1,No,Clubs,Auditory,ZT6B7F,Female,No,62.0,23.0,5.0,16.0,5.0,92.0,23:00,7:00,walk,red
181,0,No,Arts,Visual,QVMIRM,Female,Yes,81.0,9.0,15.0,16.0,6.0,95.0,23:00,7:00,walk,green
182,1,Yes,Arts,Visual,GMOLNR,Male,Yes,85.0,22.0,0.0,15.0,8.0,100.0,21:30,5:30,public transport,black
183,2,Yes,None,Visual,X7HPJM,Male,No,81.0,16.0,2.0,15.0,8.0,91.0,23:00,7:00,walk,blue
184,0,Yes,None,Visual,BB0GWZ,Female,Yes,82.0,13.0,2.0,16.0,8.0,99.0,22:00,6:00,private transport,black
185,2,No,Clubs,Visual,Z3E0R7,Female,Yes,72.0,18.0,1.0,6.0,5.0,95.0,21:00,5:00,public transport,red
186,2,No,Sports,Auditory,7FLZFC,Male,Yes,60.0,11.0,11.0,16.0,18.0,98.0,22:00,6:00,private transport,red
187,1,No,Clubs,Visual,904N7S,Male,No,46.0,18.0,12.0,16.0,5.0,67.0,23:30,5:30,public transport,green
188,0,No,Arts,Visual,PF3GL0,Female,Yes,55.0,10.0,12.0,16.0,18.0,97.0,21:00,5:00,public transport,black
189,1,No,Arts,Visual,DHU6S5,Female,No,54.0,9.0,21.0,15.0,15.0,91.0,21:30,5:30,public transport,yellow
190,1,No,Sports,Visual,NXSGVV,Female,Yes,57.0,0.0,30.0,16.0,10.0,99.0,21:30,5:30,public transport,white
191,0,Yes,Clubs,Auditory,X1H8JD,Male,No,76.0,12.0,3.0,15.0,6.0,92.0,23:00,7:00,walk,red
192,1,Yes,None,Auditory,WA7FY7,Male,Yes,80.0,16.0,6.0,15.0,8.0,94.0,21:00,5:00,public transport,black
193,2,No,Clubs,Auditory,SATF1G,Male,Yes,55.0,10.0,8.0,15.0,17.0,93.0,22:00,6:00,private transport,yellow
194,2,No,Sports,Auditory,UPVY4I,Male,No,40.0,19.0,4.0,15.0,2.0,89.0,21:30,5:30,public transport,yellow
195,2,Yes,Arts,Auditory,QYA5UX,Male,No,45.0,16.0,8.0,16.0,6.0,95.0,21:30,5:30,public transport,yellow
196,0,No,Clubs,Visual,LX6SSC,Male,No,79.0,26.0,1.0,15.0,8.0,94.0,22:00,6:00,private transport,red
197,1,Yes,Arts,Auditory,69BXSI,Female,No,48.0,23.0,2.0,15.0,6.0,97.0,21:30,5:30,public transport,yellow
198,1,Yes,Sports,Visual,S9V8KG,Female,No,55.0,12.0,15.0,15.0,8.0,91.0,21:30,5:30,public transport,yellow
199,1,No,Clubs,Visual,25PAWM,Female,N,58.0,13.0,13.0,16.0,10.0,96.0,23:00,7:00,walk,black
200,0,No,None,Auditory,6ZEMY9,Female,No,62.0,14.0,7.0,15.0,15.0,97.0,23:00,7:00,walk,red
201,1,No,Sports,Auditory,1R0VBB,Female,Yes,67.0,12.0,16.0,15.0,8.0,99.0,21:30,5:30,public transport,red
202,0,No,None,Auditory,KX2M6I,Male,Yes,71.0,11.0,9.0,15.0,9.0,91.0,21:30,5:30,public transport,blue
203,2,No,Clubs,Visual,HBG0X7,Male,Yes,78.0,17.0,2.0,16.0,8.0,96.0,22:30,6:30,private transport,green
204,0,No,Sports,Visual,JTXRFZ,Female,Yes,68.0,21.0,1.0,16.0,12.0,94.0,21:00,5:00,public transport,white
205,1,Yes,None,Visual,W8KTLE,Female,No,57.0,11.0,16.0,15.0,7.0,98.0,22:30,6:30,private transport,black
206,1,Yes,None,Visual,SV1D3B,Male,No,76.0,11.0,6.0,16.0,10.0,97.0,21:00,5:00,public transport,white
207,0,Yes,Sports,Auditory,1AEWQT,Female,No,77.0,8.0,11.0,16.0,9.0,,21:00,5:00,public transport,blue
208,2,No,None,Visual,5KYDPA,Male,No,69.0,17.0,5.0,15.0,8.0,100.0,21:00,5:00,public transport,white
